行政區,路名,段號及其他註明,經度,緯度,導航頁面
內湖區,民權東路,民權東路6段138號(新湖國小前),121.58877,25.068902,"https://www.google.com.tw/maps/dir//25.068902,121.58877"
內湖區,成功路,成功路2段312巷口(湖興公園前),121.590518,25.06688,"https://www.google.com.tw/maps/dir//25.06688,121.590518"
內湖區,成功路,成功路2段233號(薑母鴨前),121.590828,25.067736,"https://www.google.com.tw/maps/dir//25.067736,121.590828"
內湖區,民權東路,民權東路6段97號(士林地方法院前),121.588341,25.069167,"https://www.google.com.tw/maps/dir//25.069167,121.588341"
內湖區,民權東路,民權東路6段45號(三民國中左邊),121.585607,25.06903,"https://www.google.com.tw/maps/dir//25.06903,121.585607"
內湖區,民權東路,民權東路6段156號(土地銀行前),121.591798,25.06883,"https://www.google.com.tw/maps/dir//25.06883,121.591798"
內湖區,民權東路,民權東路6段186號旁,121.59319,25.068808,"https://www.google.com.tw/maps/dir//25.068808,121.59319"
內湖區,民權東路,民權東路6段208號(網球中心站牌),121.596793,25.067759,"https://www.google.com.tw/maps/dir//25.067759,121.596793"
內湖區,民權東路,民權東路6段218巷口民權敦品公車站牌,121.598281,25.067105,"https://www.google.com.tw/maps/dir//25.067105,121.598281"
內湖區,民權東路,民權東路6段191巷口,121.597666,25.067621,"https://www.google.com.tw/maps/dir//25.067621,121.597666"
內湖區,成功路,成功路2段193巷口(下灣公園前),121.590735,25.066867,"https://www.google.com.tw/maps/dir//25.066867,121.590735"
內湖區,成功路,成功路2段(三軍總院站牌),121.590074,25.071174,"https://www.google.com.tw/maps/dir//25.071174,121.590074"
內湖區,成功路,成功路2段369號(橡木桶前),121.590067,25.073745,"https://www.google.com.tw/maps/dir//25.073745,121.590067"
內湖區,民權東路,民權東路6段228號前人行道,121.599735,25.066729,"https://www.google.com.tw/maps/dir//25.066729,121.599735"
內湖區,民權東路,民權東路6段253號前人行道,121.601013,25.067322,"https://www.google.com.tw/maps/dir//25.067322,121.601013"
內湖區,民權東路,民權東路6段173號公車站牌旁,121.595968,25.068342,"https://www.google.com.tw/maps/dir//25.068342,121.595968"
內湖區,文德路,文德路單號側(內湖高中站牌),121.588224,25.078998,"https://www.google.com.tw/maps/dir//25.078998,121.588224"
內湖區,陽光街,陽光街雙號側(內湖國中站牌),121.587712,25.076974,"https://www.google.com.tw/maps/dir//25.076974,121.587712"
